strike,expiryDate,PEOI,CEOI,CEchOI,CEpchoi,PEchOI,PEpchoi,CEVol,PEVol,CEBuyQty,CESellQty,PEBuyQty,PESellQty,price,current_date,current_time
44200,01-Nov-2023,751.0,366.0,-68.0,-15.668202764976959,238.0,46.393762183235864,491.0,982.0,6600.0,5160.0,8670.0,10185.0,44468.3,2023-10-17,10:07:08
44300,01-Nov-2023,644.0,561.0,-243.0,-30.223880597014926,287.0,80.3921568627451,771.0,526.0,7830.0,7185.0,10320.0,7320.0,44468.3,2023-10-17,10:07:08
44400,01-Nov-2023,567.0,536.0,102.0,23.502304147465438,149.0,35.645933014354064,913.0,631.0,8820.0,7560.0,10725.0,7875.0,44468.3,2023-10-17,10:07:08
44500,01-Nov-2023,1349.0,2301.0,364.0,18.79194630872483,675.0,100.14836795252225,1739.0,1868.0,14490.0,14625.0,17025.0,17205.0,44468.3,2023-10-17,10:07:08
44600,01-Nov-2023,386.0,871.0,228.0,35.45878693623639,204.0,112.08791208791209,567.0,602.0,8475.0,7680.0,11715.0,6345.0,44468.3,2023-10-17,10:07:08
44700,01-Nov-2023,279.0,727.0,194.0,36.39774859287054,128.0,84.76821192052981,859.0,913.0,11460.0,10710.0,7230.0,4890.0,44468.3,2023-10-17,10:07:08
44100,01-Nov-2023,307.0,104.0,-57.0,-35.40372670807454,23.0,8.098591549295774,124.0,82.0,5130.0,3705.0,11085.0,10275.0,44468.3,2023-10-17,10:07:08
44800,01-Nov-2023,140.0,361.0,52.0,16.828478964401295,15.0,12.0,312.0,77.0,11655.0,8775.0,7800.0,4425.0,44468.3,2023-10-17,10:07:08
44900,01-Nov-2023,57.0,203.0,1.0,0.49504950495049505,6.0,11.764705882352942,37.0,14.0,10950.0,7875.0,4500.0,2625.0,44468.3,2023-10-17,10:07:08
44200,08-Nov-2023,33.0,49.0,-3.0,-5.769230769230769,0.0,0.0,31.0,0.0,2880.0,3645.0,3435.0,2220.0,44468.3,2023-10-17,10:07:08
44900,08-Nov-2023,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3450.0,3570.0,1365.0,1440.0,44468.3,2023-10-17,10:07:08
44100,08-Nov-2023,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2550.0,2460.0,1830.0,2865.0,44468.3,2023-10-17,10:07:08
44800,08-Nov-2023,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2565.0,3300.0,2265.0,2280.0,44468.3,2023-10-17,10:07:08
44400,08-Nov-2023,18.0,70.0,-18.0,-20.454545454545453,-5.0,-21.73913043478261,40.0,18.0,3270.0,2955.0,3435.0,3195.0,44468.3,2023-10-17,10:07:08
44300,08-Nov-2023,33.0,238.0,-60.0,-20.13422818791946,0.0,0.0,136.0,0.0,3255.0,4740.0,3420.0,2655.0,44468.3,2023-10-17,10:07:08
44500,08-Nov-2023,141.0,694.0,-48.0,-6.46900269541779,1.0,0.7142857142857143,213.0,147.0,4560.0,3960.0,4110.0,2910.0,44468.3,2023-10-17,10:07:08
44600,08-Nov-2023,26.0,59.0,0.0,0.0,-27.0,-50.943396226415096,10.0,36.0,3975.0,3480.0,2640.0,2040.0,44468.3,2023-10-17,10:07:08
44700,08-Nov-2023,12.0,87.0,0.0,0.0,-1.0,-7.6923076923076925,3.0,15.0,3495.0,3315.0,1920.0,2055.0,44468.3,2023-10-17,10:07:08
44200,15-Nov-2023,2.0,13.0,8.0,160.0,0.0,0.0,13.0,0.0,1335.0,345.0,1830.0,945.0,44468.3,2023-10-17,10:07:08
44700,15-Nov-2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1815.0,465.0,915.0,990.0,44468.3,2023-10-17,10:07:08
44900,15-Nov-2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1815.0,915.0,0.0,0.0,44468.3,2023-10-17,10:07:08
44800,15-Nov-2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860.0,915.0,30.0,0.0,44468.3,2023-10-17,10:07:08
44600,15-Nov-2023,3.0,0.0,0.0,0.0,1.0,50.0,0.0,2.0,1995.0,1065.0,945.0,945.0,44468.3,2023-10-17,10:07:08
44100,15-Nov-2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,375.0,1815.0,915.0,44468.3,2023-10-17,10:07:08
44400,15-Nov-2023,13.0,6.0,4.0,200.0,0.0,0.0,8.0,0.0,2115.0,1095.0,1830.0,945.0,44468.3,2023-10-17,10:07:08
44300,15-Nov-2023,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2115.0,1155.0,1830.0,945.0,44468.3,2023-10-17,10:07:08
44500,15-Nov-2023,19.0,176.0,49.0,38.58267716535433,1.0,5.555555555555555,54.0,2.0,1935.0,1470.0,1185.0,360.0,44468.3,2023-10-17,10:07:08
